system,observable,snr_db,trial,tau,dim,lyap_max,kse_ub,lyap_spec,rmse
lorenz63_xhighsnr,x,1000.0,0,50,7,0.0364720225334167,0.0470715761184692,0.0365;0.0106;-0.0860;-0.1639,5.56210987343469
lorenz63_xhighsnr,x,1000.0,1,50,7,0.0364720225334167,0.0470715761184692,0.0365;0.0106;-0.0860;-0.1639,5.941549830414467
lorenz63_xhighsnr,x,1000.0,2,50,7,0.0364720225334167,0.0470715761184692,0.0365;0.0106;-0.0860;-0.1639,5.420450394562017
lorenz63_xhighsnr,x,100.0,0,50,7,0.0283927526324987,0.0283927526324987,0.0284;-0.0015;-0.1408;-0.3355,5.396947840586077
lorenz63_xhighsnr,x,100.0,1,50,7,0.0285448618233203,0.0285448618233203,0.0285;-0.0056;-0.1433;-0.3428,5.289692788127147
lorenz63_xhighsnr,x,100.0,2,50,7,0.0287486743181943,0.0287486743181943,0.0287;-0.0054;-0.1394;-0.3342,5.097197977111207
lorenz63_xhighsnr,y,1000.0,0,40,7,0.0423105098307132,0.0572819449007511,0.0423;0.0150;-0.0912;-0.1354,5.910090225024427
lorenz63_xhighsnr,y,1000.0,1,40,7,0.0423105098307132,0.0572819449007511,0.0423;0.0150;-0.0912;-0.1354,5.261974986273656
lorenz63_xhighsnr,y,1000.0,2,40,7,0.0423105098307132,0.0572819449007511,0.0423;0.0150;-0.0912;-0.1354,5.526943186401409
lorenz63_xhighsnr,y,100.0,0,40,7,0.0391292311251163,0.0391292311251163,0.0391;-0.0044;-0.1311;-0.3570,5.444292768238204
lorenz63_xhighsnr,y,100.0,1,40,7,0.0393114499747753,0.0393114499747753,0.0393;-0.0034;-0.1278;-0.3673,5.396971307593128
lorenz63_xhighsnr,y,100.0,2,40,7,0.0397765189409256,0.0397765189409256,0.0398;-0.0036;-0.1312;-0.3733,5.052628138591928
lorenz63_xhighsnr,z,1000.0,0,20,7,0.1329622566699981,0.1597350388765335,0.1330;0.0268;-0.0269;-0.1395,5.135550969169783
lorenz63_xhighsnr,z,1000.0,1,20,7,0.1329622566699981,0.1597350388765335,0.1330;0.0268;-0.0269;-0.1395,5.134584983783399
lorenz63_xhighsnr,z,1000.0,2,20,7,0.1329622566699981,0.1597350388765335,0.1330;0.0268;-0.0269;-0.1395,5.016427623824763
lorenz63_xhighsnr,z,100.0,0,20,7,0.0393874645233154,0.0393874645233154,0.0394;-0.0176;-0.1324;-0.3071,5.1298584463152705
lorenz63_xhighsnr,z,100.0,1,20,7,0.039202731102705,0.039202731102705,0.0392;-0.0174;-0.1305;-0.3026,4.9813547480362965
lorenz63_xhighsnr,z,100.0,2,20,7,0.0403860136866569,0.0403860136866569,0.0404;-0.0169;-0.1319;-0.2998,4.960352660469354
lorenz63_xhighsnr,x_smooth_5,1000.0,0,50,7,0.0378732308745384,0.0479416362941265,0.0379;0.0101;-0.0895;-0.1713,5.614521817527544
lorenz63_xhighsnr,x_smooth_5,1000.0,1,50,7,0.0378732308745384,0.0479416362941265,0.0379;0.0101;-0.0895;-0.1713,5.199475267231587
lorenz63_xhighsnr,x_smooth_5,1000.0,2,50,7,0.0378732308745384,0.0479416362941265,0.0379;0.0101;-0.0895;-0.1713,4.794438093460029
lorenz63_xhighsnr,x_smooth_5,100.0,0,50,7,0.0313589796423912,0.0313589796423912,0.0314;-0.0028;-0.1416;-0.3332,5.35922876639438
lorenz63_xhighsnr,x_smooth_5,100.0,1,50,7,0.0312685817480087,0.0312685817480087,0.0313;-0.0049;-0.1454;-0.3441,5.131212153897293
